idPlayer,idTeam,yearDraft,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches,verticalLeapStandingInches,verticalLeapMaxInches,repsBenchPress135,timeLaneAgility,timeThreeQuarterCourtSprint,timeModifiedLaneAgility,lengthHandInches,widthHandInches,pctBodyFat
1628981.0,1610612755.0,2019.0,80.75,233.2,88.25,109.0,29.0,35.0,11.0,12.19,3.23,3.03,9.5,10.0,5.25
1628981.0,1610612755.0,2019.0,80.75,237.0,87.25,110.0,29.5,33.5,13.0,11.29,3.21,3.05,9.25,10.0,5.4
1629712.0,1610612737.0,2019.0,,,,,,,,,,,,,
1628998.0,1610612766.0,2019.0,76.75,188.6,82.25,102.5,29.0,36.5,4.0,10.639999999999999,3.09,3.05,8.5,9.0,5.45
1628998.0,1610612766.0,2019.0,76.75,192.2,82.25,102.5,28.0,35.5,7.0,10.44,3.32,2.9899999999999998,8.25,9.0,5.0
1629686.0,1610612742.0,2019.0,,,,,,,,,,,,,
1629655.0,1610612741.0,2019.0,81.25,237.6,86.5,110.0,32.5,36.5,5.0,11.61,3.25,3.19,9.25,9.25,5.9
1629346.0,1610612740.0,2019.0,,,,,,,,,,,,,
1629713.0,1610612758.0,2019.0,,,,,,,,,,,,,
1629672.0,1610612744.0,2019.0,78.0,254.4,87.75,103.5,33.0,38.0,18.0,11.629999999999999,3.3,3.2600000000000002,9.0,9.5,6.3
1629678.0,1610612755.0,2019.0,76.0,240.6,81.75,102.5,30.0,34.0,15.0,10.77,3.3699999999999997,2.8699999999999997,8.75,9.0,6.8
1629669.0,1610612750.0,2019.0,75.25,202.4,79.25,98.0,32.0,38.5,2.0,10.76,3.23,3.13,8.25,8.5,6.1
1629626.0,1610612748.0,2019.0,84.75,208.0,91.0,115.5,,,,,,,9.25,9.5,7.1
1629676.0,1610612765.0,2019.0,79.25,214.0,85.0,106.0,32.5,35.5,9.0,10.629999999999999,3.25,3.05,9.0,10.5,3.9
1629659.0,1610612753.0,2019.0,74.5,235.4,85.25,103.0,26.0,34.5,10.0,11.34,3.34,3.4299999999999997,9.5,9.75,8.4
1629649.0,1610612758.0,2019.0,77.75,220.8,81.25,102.0,31.0,36.5,13.0,11.06,3.36,3.17,8.75,9.5,6.0
1629611.0,1610612746.0,2019.0,76.75,204.6,79.75,101.0,32.5,38.5,6.0,11.51,3.3,3.14,9.5,9.25,4.0
1629683.0,1610612759.0,2019.0,75.0,206.6,81.0,100.0,31.0,38.0,,11.57,3.16,3.15,8.5,9.0,6.1
1629714.0,1610612754.0,2019.0,,,,,,,,,,,,,
1629682.0,1610612738.0,2019.0,69.5,172.4,74.25,93.5,30.5,40.5,5.0,10.76,3.07,3.11,8.0,9.75,6.6
1629667.0,1610612766.0,2019.0,80.25,191.6,84.25,105.5,29.5,33.5,0.0,11.54,3.32,3.23,9.0,10.0,5.7
1629625.0,1610612762.0,2019.0,,,,,,,,,,,,,
1629621.0,1610612755.0,2019.0,76.5,196.8,84.25,103.5,29.5,36.5,9.0,11.16,3.3699999999999997,3.04,8.75,9.25,4.7
1629657.0,1610612752.0,2019.0,72.75,167.8,76.5,95.5,30.5,36.5,4.0,10.48,3.27,3.07,8.0,8.75,5.7
1628986.0,1610612746.0,2019.0,73.5,179.0,77.5,98.0,31.5,39.5,6.0,12.11,3.13,3.16,8.0,8.0,5.0
1628986.0,1610612746.0,2019.0,73.5,180.4,77.5,97.0,33.0,41.5,6.0,10.729999999999999,3.12,3.03,8.0,8.25,5.1
1629648.0,1610612740.0,2019.0,73.5,179.0,75.25,95.0,36.0,42.5,7.0,9.97,3.08,2.7800000000000002,7.5,9.25,5.0
1629671.0,1610612744.0,2019.0,76.25,205.6,82.75,100.5,30.5,38.5,19.0,11.709999999999999,3.17,3.12,9.0,10.0,4.9
1629608.0,1610612761.0,2019.0,81.0,232.8,85.75,107.0,30.5,35.5,13.0,11.46,3.2800000000000002,3.25,9.5,10.25,6.1
1629079.0,1610612758.0,2019.0,,,,,,,,,,,,,
1629028.0,1610612756.0,2018.0,,,,,,,,,,,,,
1628963.0,1610612758.0,2018.0,,,,,,,,,,,,,
1629029.0,1610612737.0,2018.0,,,,,,,,,,,,,
1628991.0,1610612763.0,2018.0,81.75,236.0,89.25,110.0,,,,,,,10.0,10.0,7.2
1629027.0,1610612742.0,2018.0,72.5,177.8,75.0,95.5,,,,,,,8.0,9.25,5.35
1628964.0,1610612753.0,2018.0,83.25,225.6,94.0,115.5,,,,,,,9.75,10.25,6.2
1628976.0,1610612741.0,2018.0,80.75,251.4,88.5,109.0,,,,,,,8.5,9.0,7.85
1629012.0,1610612739.0,2018.0,72.5,183.0,79.25,98.5,,,,,,,8.25,8.5,5.6
1628995.0,1610612752.0,2018.0,79.75,212.6,83.75,108.0,,,,,,,8.75,9.25,4.95
1628969.0,1610612755.0,2018.0,,,,,,,,,,,,,
1628983.0,1610612766.0,2018.0,76.5,180.0,83.5,104.0,,,,,,,9.0,9.0,3.0
1628970.0,1610612746.0,2018.0,77.25,220.4,81.5,103.5,,,,,,,9.0,9.75,5.9
1629010.0,1610612746.0,2018.0,76.0,188.4,79.25,98.0,,,,,,,9.0,10.0,6.05
1629008.0,1610612743.0,2018.0,81.5,211.0,84.25,108.5,,,,,,,8.75,9.25,6.4
1628972.0,1610612764.0,2018.0,77.75,208.0,82.25,105.0,26.0,33.0,5.0,11.51,3.3299999999999996,3.29,9.0,9.75,7.05
1629015.0,1610612756.0,2018.0,74.75,198.6,81.75,100.0,33.0,41.5,10.0,11.02,3.05,3.15,8.75,8.25,6.05
1628978.0,1610612749.0,2018.0,75.5,200.6,78.0,97.5,34.5,42.0,12.0,10.719999999999999,3.11,3.12,8.25,9.0,5.0
1629022.0,1610612759.0,2018.0,75.75,196.2,82.25,99.5,31.5,40.0,12.0,10.870000000000001,3.06,2.9099999999999997,9.0,9.5,5.6499999999999995
1628989.0,1610612737.0,2018.0,78.25,194.0,79.5,101.5,31.0,38.0,9.0,10.89,3.09,2.9699999999999998,8.25,8.5,8.6
1629006.0,1610612750.0,2018.0,75.0,210.8,84.0,102.0,33.0,42.0,12.0,11.08,3.04,3.03,9.0,9.75,5.2
